Player,position,age,games played,dob,origin,height,weight
josh goater,"Defender, Midfield",20yr,4,"June 2, 2003",Calder Cannons,190cm,80kg
josh honey,Forward,21yr 8mth,16,"October 17, 2001",Western Jets,186cm,85kg
josh rachele,"Midfield, Forward",20yr 2mth,27,"April 11, 2003",Murray Bushrangers,180cm,80kg
josh rotham,Defender,25yr 4mth,55,"February 25, 1998",West Perth,193cm,89kg
josh schache,Forward,25yr 10mth,73,"August 21, 1997",Murray Bushrangers,201cm,94kg
josh sinn,"Midfield, Forward",20yr 5mth,4,"January 7, 2003",Sandringham Dragons,187cm,78kg
josh treacy,Forward,20yr 10mth,27,"August 4, 2002",Bendigo Pioneers,195cm,98kg
josh ward,Midfield,19yr 10mth,21,"August 15, 2003",Northern Knights,183cm,77kg
josh worrell,Defender,22yr 2mth,8,"April 11, 2001",Sandringham Dragons,194cm,88kg
judd mcvee,"Defender, Midfield",19yr 10mth,14,"August 7, 2003",East Fremantle,185cm,70kg
judson clarke,Forward,19yr 8mth,15,"October 17, 2003",Dandenong Stingrays,180cm,72kg
justin mcinerney,Midfield,22yr 10mth,66,"August 18, 2000",Northern Knights,188cm,84kg
jy farrar,Defender,26yr 6mth,29,"December 7, 1996",Scotch OC,191cm,77kg
jy simpkin,Midfield,25yr 3mth,127,"March 5, 1998",Murray Bushrangers,182cm,77kg
jye amiss,Forward,19yr 10mth,16,"July 31, 2003",East Perth,196cm,83kg
jye caldwell,"Midfield, Forward",22yr 8mth,48,"September 28, 2000",Bendigo Pioneers,183cm,83kg
jye menzie,Forward,20yr 7mth,15,"October 28, 2002",South Adelaide,180cm,81kg
kade chandler,Forward,23yr 5mth,24,"January 13, 2000",Norwood,175cm,80kg
kai lohmann,Forward,20yr 1mth,4,"May 6, 2003",GWV Rebels,185cm,77kg
kaine baldwin,Forward,21yr,6,"May 30, 2002",Glenelg,193cm,95kg
kamdyn mcintosh,Midfield,29yr 2mth,160,"April 3, 1994",Peel Thunder,191cm,92kg
kane farrell,"Defender, Midfield",24yr 3mth,61,"March 17, 1999",Bendigo Pioneers,182cm,78kg
karl amon,Midfield,27yr 10mth,138,"August 19, 1995",Sandringham Dragons,181cm,77kg
kayne turner,"Defender, Forward",27yr 5mth,125,"December 31, 1995",Wodonga Football,180cm,71kg
keidean coleman,Defender,23yr 2mth,54,"March 31, 2000",Brisbane,182cm,81kg
kieren briggs,Ruck,23yr 8mth,14,"October 6, 1999",Pennant Hills,201cm,107kg
kyle langford,"Midfield, Forward",26yr 6mth,121,"December 1, 1996",Northern Knights,192cm,88kg
kysaiah pickett,Forward,22yr,74,"June 2, 2001",Woodville West Torrens,171cm,73kg
lachie neale,Midfield,30yr 1mth,234,"May 24, 1993",Glenelg,178cm,84kg
lachie whitfield,"Defender, Midfield",28yr 11mth,198,"July 18, 1994",Dandenong Stingrays,185cm,83kg
lachlan bramble,"Defender, Midfield",25yr 2mth,29,"April 19, 1998",Box Hill,181cm,80kg
lachlan cowan,Defender,18yr 6mth,6,"December 1, 2004",Tasmania Devils,187cm,81kg
lachlan gollant,Forward,21yr 9mth,11,"September 12, 2001",Calder Cannons,192cm,85kg
lachlan keeffe,Defender,33yr 2mth,101,"April 14, 1990",Queensland Under 18s,204cm,101kg
lachlan mcandrew,"Forward, Ruck",23yr,2,"May 26, 2000",Sydney,209cm,101kg
lachlan mcneil,"Midfield, Forward",21yr 9mth,37,"September 2, 2001",Woodville-west Torrens,184cm,82kg
lachlan murphy,Forward,24yr 6mth,89,"December 4, 1998",Adelaide Football Club,175cm,81kg
lachlan sholl,Midfield,23yr 3mth,51,"March 7, 2000",Calder Cannons,186cm,82kg
laitham vandermeer,Forward,24yr 4mth,35,"February 3, 1999",Murray Bushrangers,181cm,79kg
lance franklin,Forward,36yr 4mth,350,"January 30, 1987",Perth,199cm,106kg
levi casboult,Forward,33yr 3mth,186,"March 15, 1990",Dandenong Stingrays,199cm,104kg
lewis melican,Defender,26yr 7mth,56,"November 4, 1996",Geelong Falcons,194cm,100kg
lewis young,Defender,24yr 6mth,55,"December 20, 1998",Sturt,201cm,100kg
liam baker,"Defender, Forward",25yr 4mth,101,"January 27, 1998",Subiaco,173cm,72kg
liam duggan,Defender,26yr 6mth,149,"December 11, 1996",Western Jets,186cm,84kg
liam henry,"Midfield, Forward",21yr 9mth,34,"August 28, 2001",Claremont,180cm,75kg
liam jones,Defender,32yr 4mth,175,"February 24, 1991",Scotch College,199cm,100kg
liam ryan,Forward,26yr 8mth,89,"October 2, 1996",Subiaco,180cm,76kg
liam shiels,"Midfield, Forward",32yr 1mth,268,"April 29, 1991",Hawthorn,183cm,84kg
liam stocker,Defender,23yr 5mth,42,"January 23, 2000",Sandringham Dragons,184cm,86kg
lincoln mccarthy,Forward,29yr 8mth,133,"October 22, 1993",Glenelg,178cm,82kg
lloyd meek,"Forward, Ruck",25yr 2mth,27,"April 22, 1998",Gwv Rebels,203cm,110kg
logan mcdonald,Forward,21yr 2mth,34,"April 4, 2002",Perth Fc,196cm,92kg
luke breust,Forward,32yr 7mth,273,"November 11, 1990",Temora,184cm,83kg
luke davies uniacke,Midfield,24yr,78,"June 8, 1999",Dandenong Stingrays,188cm,87kg
luke edwards,"Midfield, Forward",21yr 5mth,20,"January 12, 2002",Glenelg,189cm,84kg
luke foley,Defender,23yr 8mth,31,"October 8, 1999",Subiaco,189cm,81kg
luke jackson,"Forward, Ruck",21yr 8mth,66,"September 29, 2001",East Fremantle,199cm,100kg
luke mcdonald,Defender,28yr 4mth,173,"February 9, 1995",Werribee,189cm,86kg
luke parker,Midfield,30yr 8mth,273,"October 25, 1992",Dandenong Stingrays,183cm,88kg
luke pedlar,Forward,21yr 1mth,18,"May 17, 2002",Glenelg,184cm,84kg
luke ryan,Defender,27yr 4mth,123,"February 6, 1996",Coburg,186cm,92kg
luke shuey,Midfield,33yr,244,"June 2, 1990",Oakleigh Chargers,184cm,89kg
mabior chol,Forward,26yr 4mth,59,"January 29, 1997",Aspley,200cm,96kg
mac andrew,Defender,19yr 6mth,12,"December 4, 2003",Dandenong Stingrays,201cm,74kg
malcolm rosas,Forward,21yr 11mth,32,"June 27, 2001",NT Thunder,175cm,70kg
marc pittonet,Ruck,27yr,52,"June 3, 1996",Oakleigh Chargers,202cm,104kg
marc sheather,"Defender, Forward",21yr,3,"June 11, 2002",Pennant Hills,185cm,87kg
marcus bontempelli,Midfield,27yr 7mth,207,"November 24, 1995",Northern Knights,193cm,93kg
marcus windhager,"Midfield, Forward",20yr 1mth,27,"May 16, 2003",Sandringham Dragons,185cm,86kg
mark blicavs,"Midfield, Ruck",32yr 2mth,241,"March 28, 1991",Geelong Vfl,198cm,101kg
marlion pickett,Midfield,31yr 5mth,70,"January 6, 1992",South Fremantle,184cm,81kg
mason cox,"Forward, Ruck",32yr 3mth,103,"March 14, 1991",Oklahoma State,211cm,108kg
mason redman,Defender,25yr 9mth,94,"August 26, 1997",Glenelg,187cm,86kg
mason wood,Midfield,29yr 9mth,107,"September 13, 1993",Geelong Falcons,192cm,85kg
matt crouch,Midfield,28yr 2mth,137,"April 21, 1995",North Ballarat Rebels,182cm,80kg
matt guelfi,Forward,25yr 10mth,88,"August 14, 1997",Claremont,184cm,84kg
matt rowell,Midfield,21yr 11mth,53,"July 1, 2001",Oakleigh Chargers,180cm,80kg
mattaes phillipou,"Midfield, Forward",18yr 5mth,14,"December 27, 2004",Eagles,190cm,89kg
matthew taberner,Forward,30yr,120,"June 17, 1993",Murray Bushrangers,198cm,99kg
max gawn,Ruck,31yr 5mth,192,"December 30, 1991",Sandringham Dragons,209cm,111kg
max holmes,Midfield,20yr 9mth,42,"August 29, 2002",Sandringham Dragons,189cm,83kg
max lynch,Ruck,24yr 9mth,11,"September 12, 1998",Murray Bushrangers,200cm,101kg
max michalanney,Defender,19yr 3mth,14,"February 26, 2004",Norwood,190cm,78kg
max ramsden,"Forward, Ruck",20yr 2mth,1,"April 19, 2003",Sandringham Dragons,203cm,86kg
michael hibberd,Defender,33yr 5mth,194,"January 3, 1990",Frankston,186cm,94kg
michael walters,Forward,32yr 5mth,214,"January 7, 1991",Swan Districts,176cm,79kg
miles bergman,"Defender, Midfield",21yr 8mth,47,"October 18, 2001",Sandringham Dragons,189cm,84kg
miller bergman,Defender,20yr 5mth,11,"January 25, 2003",Dandenong Stingrays,188cm,70kg
mitch georgiades,Forward,21yr 8mth,49,"September 28, 2001",Subiaco,192cm,88kg
mitch mcgovern,Defender,28yr 8mth,101,"October 11, 1994",Claremont,191cm,89kg
nasiah wanganeen milera,"Defender, Midfield",20yr 4mth,31,"February 22, 2003",Glenelg,187cm,79kg
nathan broad,Defender,30yr 2mth,117,"April 15, 1993",Swan Districts,192cm,87kg
nathan kreuger,Forward,24yr,9,"June 25, 1999",South Adelaide,196cm,93kg
nathan murphy,Defender,23yr 6mth,46,"December 15, 1999",Sandringham Dragons,192cm,97kg
nathan wilson,Defender,30yr 5mth,155,"January 7, 1993",WA,185cm,83kg
ned long,Midfield,20yr 4mth,3,"February 5, 2003",Northern Knights,194cm,92kg
ned moyle,Ruck,21yr 4mth,2,"February 15, 2002",Oakleigh Chargers,205cm,96kg
ned reeves,Ruck,24yr 7mth,30,"October 31, 1998",Box Hill,209cm,104kg
neil erasmus,Midfield,19yr 6mth,10,"December 2, 2003",Subiaco,190cm,83kg
nic newman,Defender,30yr 5mth,98,"January 15, 1993",Frankston,187cm,80kg
nick blakey,Defender,23yr 3mth,92,"February 27, 2000",UNSW,195cm,84kg
nick bryan,"Forward, Ruck",21yr 8mth,8,"October 22, 2001",Oakleigh Chargers,203cm,101kg
nick daicos,Defender,20yr 5mth,39,"January 3, 2003",Oakleigh Chargers,184cm,73kg
nick haynes,Defender,31yr 1mth,195,"May 18, 1992",Dandenong Stingrays,193cm,90kg
nick hind,Defender,28yr 10mth,73,"August 19, 1994",Essendon Vfl,180cm,76kg
nick larkey,Forward,25yr,85,"June 6, 1998",Oakleigh Chargers,198cm,95kg
nick murray,Defender,22yr 6mth,42,"December 18, 2000",Allies,194cm,98kg
nick vlastuin,Defender,29yr 2mth,202,"April 19, 1994",Northern Knights,187cm,87kg
noah anderson,Midfield,22yr 4mth,72,"February 17, 2001",Oakleigh Chargers,192cm,88kg
noah answerth,Defender,23yr 10mth,55,"August 6, 1999",Oakleigh Chargers,183cm,85kg
noah balta,"Defender, Forward",23yr 8mth,76,"October 23, 1999",Calder Cannons,194cm,102kg
noah cumberland,Forward,22yr 3mth,16,"March 15, 2001",Brisbane Lions Academy,183cm,80kg
noah long,"Midfield, Forward",18yr 10mth,10,"August 23, 2004",Bendigo Pioneeers,178cm,74kg
oisin mullin,Defender,23yr 4mth,2,"February 11, 2000",Mayo,182cm,84kg
oleg markov,Defender,27yr 1mth,62,"May 8, 1996",North Adelaide,188cm,85kg
oliver florent,Defender,24yr 11mth,132,"July 22, 1998",Sandringham Dragons,184cm,81kg
oliver henry,Forward,20yr 10mth,38,"July 29, 2002",Geelong Falcons,189cm,80kg
oliver hollands,Midfield,19yr 5mth,11,"January 16, 2004",Murray Bushrangers,183cm,71kg
ollie lord,"Defender, Forward",21yr 5mth,6,"January 2, 2002",Sandringham Dragons,197cm,87kg
orazio fantasia,Forward,27yr 9mth,99,"September 14, 1995",Norwood,180cm,75kg
oscar allen,Forward,24yr 3mth,73,"March 19, 1999",West Perth,196cm,95kg
oscar mcinerney,Ruck,28yr 11mth,115,"July 10, 1994",Casey Scorpions,204cm,110kg
oskar baker,Midfield,25yr 1mth,29,"May 25, 1998",Aspley,184cm,87kg
paddy dow,Midfield,23yr 8mth,66,"October 16, 1999",Bendigo Pioneers,187cm,85kg
paddy mccartin,Defender,27yr 2mth,63,"April 19, 1996",Geelong Falcons,195cm,95kg
patrick cripps,Midfield,28yr 3mth,173,"March 18, 1995",East Fremantle,195cm,93kg
patrick dangerfield,Midfield,33yr 2mth,312,"April 5, 1990",Geelong Falcons,189cm,97kg
patrick lipinski,"Midfield, Forward",24yr 11mth,83,"July 17, 1998",Northern Knights,190cm,86kg
patrick parnell,Defender,21yr 3mth,15,"March 4, 2002",Murray Bushrangers,177cm,71kg
paul curtis,Forward,20yr 3mth,27,"March 4, 2003",Western Jets,185cm,75kg
peter ladhams,Ruck,25yr 5mth,52,"January 14, 1998",Norwood,202cm,101kg
peter wright,Forward,26yr 9mth,111,"September 8, 1996",Calder Cannons,203cm,102kg
phoenix spicer,Forward,21yr 4mth,12,"January 30, 2002",South Adelaide,173cm,64kg
quinton narkle,Midfield,25yr 6mth,42,"December 3, 1997",Perth,182cm,83kg
reef mcinnes,Forward,20yr 6mth,11,"December 12, 2002",Oakleigh Chargers,194cm,87kg
reuben ginbey,"Defender, Midfield",18yr 9mth,14,"September 10, 2004",East Perth,189cm,82kg
rhett bazzo,Defender,19yr 8mth,16,"October 17, 2003",Swan Districts,195cm,86kg
rhyan mansell,"Defender, Forward",23yr,27,"June 4, 2000",Woodville West-Torrens,180cm,76kg
rhylee west,Forward,22yr 11mth,28,"July 12, 2000",Calder Cannons,182cm,85kg
rhys stanley,Ruck,32yr 6mth,188,"December 1, 1990",West Adelaide,200cm,102kg
riley bonner,"Defender, Midfield",26yr 3mth,91,"March 7, 1997",West Adelaide,190cm,85kg
riley garcia,Forward,22yr 4mth,18,"January 30, 2001",Swan Districts,177cm,77kg
riley thilthorpe,Forward,20yr 11mth,37,"July 7, 2002",West Adelaide Fc,202cm,105kg
robbie fox,Defender,30yr 2mth,77,"April 16, 1993",Coburg,185cm,84kg
robbie mccomb,"Midfield, Forward",27yr 6mth,18,"December 19, 1995",Footscray,181cm,82kg
rory atkins,"Defender, Midfield",28yr 11mth,126,"July 12, 1994",Calder Cannons,186cm,85kg
rory laird,Midfield,29yr 5mth,216,"December 29, 1993",West Adelaide,178cm,78kg
rory lobb,Forward,30yr 4mth,153,"February 9, 1993",Swan Districts,207cm,107kg
rory sloane,Midfield,33yr 3mth,247,"March 17, 1990",Eastern Ranges,183cm,82kg
rowan marshall,Ruck,27yr 7mth,100,"November 24, 1995",North Ballarat,201cm,105kg
ryan angwin,"Midfield, Forward",20yr 6mth,10,"December 12, 2002",Gippsland Power,185cm,80kg
ryan burton,Defender,26yr 4mth,128,"January 31, 1997",North Adelaide,191cm,90kg
ryan byrnes,"Midfield, Forward",22yr 1mth,42,"May 3, 2001",Sandringham Dragons,181cm,82kg
ryan clarke,Forward,26yr,89,"June 17, 1997",Eastern Ranges,186cm,83kg
ryan gardner,Defender,26yr,48,"June 1, 1997",Burnie Dockers,197cm,95kg
ryan lester,Defender,30yr 9mth,168,"August 26, 1992",Oakleigh Chargers,192cm,84kg
ryan maric,Forward,18yr 9mth,2,"September 6, 2004",Gippsland Power,193cm,84kg
sam berry,Midfield,21yr 4mth,39,"February 12, 2002",Gippsland Power,182cm,86kg
sam darcy,"Defender, Forward",19yr 11mth,6,"July 19, 2003",Oakleigh Chargers,205cm,94kg
sam day,Forward,30yr 9mth,149,"September 6, 1992",Sturt,197cm,99kg
sam de koning,Defender,22yr 3mth,34,"February 26, 2001",Dandenong Stingrays,204cm,101kg
sam docherty,Defender,29yr 8mth,156,"October 17, 1993",Gippsland Power,185cm,86kg
sam draper,Ruck,24yr 8mth,56,"September 28, 1998",South Adelaide,205cm,105kg
sam durham,Midfield,21yr 11mth,40,"July 9, 2001",Richmond,185cm,84kg
sam flanders,"Midfield, Forward",21yr 11mth,35,"July 24, 2001",Gippsland Power,183cm,82kg
sam frost,Defender,29yr 9mth,154,"August 28, 1993",Sandringham Dragons,194cm,94kg
sam petrevski seton,Forward,25yr 4mth,116,"February 19, 1998",Claremont,182cm,81kg
sam powell pepper,Forward,25yr 5mth,128,"January 8, 1998",East Perth,187cm,96kg
sam simpson,"Midfield, Forward",25yr,25,"June 14, 1998",Geelong Falcons,183cm,75kg
sam sturt,Forward,23yr 1mth,11,"May 12, 2000",Dandenong Stingrays,190cm,81kg
sam switkowski,Forward,26yr 7mth,59,"November 20, 1996",Box Hill Hawks,179cm,74kg
sam taylor,Defender,24yr 1mth,82,"May 5, 1999",Swan Districts,196cm,95kg
sam walsh,Midfield,22yr 11mth,91,"July 2, 2000",Geelong Falcons,184cm,84kg
sam weideman,Forward,25yr 11mth,71,"June 26, 1997",Eastern Ranges,197cm,97kg
sam wicks,Forward,23yr 9mth,42,"September 14, 1999",Swans Academy,180cm,81kg
samson ryan,"Forward, Ruck",22yr 6mth,14,"December 9, 2000",Lions Academy,206cm,104kg
scott lycett,Ruck,30yr 8mth,142,"September 26, 1992",Port Magpies,203cm,102kg
scott pendlebury,Midfield,35yr 5mth,371,"January 7, 1988",Gippsland Power,191cm,86kg
seamus mitchell,"Defender, Forward",20yr 11mth,9,"July 3, 2002",Bendigo Pioneers,181cm,79kg
sean darcy,Ruck,25yr,95,"June 12, 1998",Geelong Falcons,203cm,110kg
sean lemmens,Defender,28yr 7mth,140,"November 2, 1994",Port Adelaide,184cm,81kg
sebastian ross,Midfield,30yr 1mth,193,"May 7, 1993",North Ballarat Rebels,187cm,85kg
shai bolton,"Midfield, Forward",24yr 6mth,104,"December 8, 1998",South Fremantle,175cm,77kg
shane mcadam,Forward,28yr,44,"May 28, 1995",Sturt,183cm,82kg
shannon hurn,Defender,35yr 9mth,328,"September 4, 1987",Central District,187cm,95kg
steele sidebottom,Midfield,32yr 5mth,300,"January 2, 1991",Murray Bushrangers,184cm,84kg
stephen coniglio,"Midfield, Forward",29yr 6mth,191,"December 15, 1993",Swan Districts,182cm,84kg
steven may,Defender,31yr 5mth,205,"January 10, 1992",Southern Districts,193cm,101kg
tanner bruhn,"Midfield, Forward",21yr,41,"May 27, 2002",Geelong Falcons,183cm,80kg
tarryn thomas,"Midfield, Forward",23yr 3mth,60,"March 25, 2000",North Launcestion,189cm,76kg
taylor adams,"Midfield, Forward",29yr 9mth,196,"September 20, 1993",Geelong Falcons,181cm,84kg
taylor duryea,Defender,32yr 2mth,184,"April 24, 1991",Murray Bushrangers,181cm,79kg
taylor walker,Forward,33yr 2mth,251,"April 25, 1990",Broken Hill North,194cm,102kg
thomson dow,Midfield,21yr 8mth,14,"October 16, 2001",Bendigo Pioneers,183cm,79kg
tim kelly,Midfield,28yr 10mth,116,"July 26, 1994",South Fremantle,183cm,85kg
tim membrey,Forward,29yr,157,"May 26, 1994",Gippsland Power,188cm,90kg
tim taranto,"Midfield, Forward",25yr 4mth,128,"January 28, 1998",Sandringham Dragons,188cm,87kg
toby bedford,Forward,23yr,26,"May 27, 2000",Dandenong Stingrays,179cm,75kg
toby greene,Forward,29yr 9mth,203,"September 25, 1993",Oakleigh Chargers,182cm,84kg
toby mclean,"Midfield, Forward",27yr 4mth,101,"January 31, 1996",Oakleigh Chargers,181cm,83kg
toby nankervis,Ruck,28yr 10mth,130,"August 12, 1994",North Launceston,199cm,102kg
todd goldstein,Ruck,34yr 11mth,308,"July 1, 1988",Oakleigh,201cm,103kg
todd marshall,Forward,24yr 8mth,87,"October 8, 1998",Murray Bushrangers,198cm,92kg
tom atkins,"Defender, Midfield",27yr 9mth,96,"September 18, 1995",Geelong,180cm,82kg
tom barrass,Defender,27yr 8mth,129,"October 8, 1995",Claremont,197cm,96kg
tom clurey,Defender,29yr 3mth,124,"March 23, 1994",Murray Bushrangers,193cm,95kg
tom cole,Defender,26yr,82,"May 28, 1997",Sandhurst Football Netball Club,188cm,83kg
tom de koning,Ruck,23yr 11mth,50,"July 16, 1999",Dandenong Stingrays,203cm,101kg
tom doedee,Defender,26yr 3mth,82,"March 1, 1997",Geelong Falcons,187cm,90kg
tom green,Midfield,22yr 5mth,58,"January 23, 2001",GWS Giants Academy,192cm,92kg
tom hawkins,Forward,34yr 11mth,341,"July 21, 1988",Melbourne Grammar,198cm,104kg
tom hickey,Ruck,32yr 3mth,144,"March 6, 1991",Morningside,202cm,97kg
tom mccartin,Defender,23yr 5mth,101,"December 30, 1999",Geelong Falcons,193cm,97kg
tom mcdonald,Forward,30yr 9mth,208,"September 18, 1992",North Ballarat,195cm,101kg
tom mitchell,Midfield,30yr,185,"May 31, 1993",Claremont,182cm,83kg
tom papley,Forward,26yr 11mth,155,"July 13, 1996",Gippsland Power,177cm,80kg
tom powell,"Midfield, Forward",21yr 3mth,43,"March 2, 2002",Sturt,184cm,75kg
tom sparrow,"Midfield, Forward",23yr,64,"May 31, 2000",South Adelaide,183cm,85kg
tom wilson,"Defender, Forward",26yr,8,"June 24, 1997",Vic Metro,194cm,86kg
touk miller,Midfield,27yr 4mth,166,"February 22, 1996",Calder Cannons,178cm,84kg
travis boak,Midfield,34yr 10mth,338,"August 1, 1988",Geelong Falcons,183cm,85kg
trent cotchin,"Midfield, Forward",33yr 2mth,300,"April 7, 1990",Northern Knights,185cm,86kg
trent mckenzie,Defender,31yr 2mth,158,"April 3, 1992",Western Jets,191cm,90kg
trent rivers,Defender,21yr 10mth,66,"July 30, 2001",East Fremantle,188cm,91kg
trey ruscoe,Defender,21yr 7mth,18,"November 3, 2001",East Fremantle,193cm,93kg
tristan xerri,Ruck,24yr 3mth,25,"March 15, 1999",Western Jets,201cm,99kg
tylar young,Defender,24yr 9mth,10,"September 5, 1998",Richmond VFL,196cm,92kg
tyler brockman,Forward,20yr 7mth,22,"November 22, 2002",Subiaco,181cm,80kg
tyler brown,"Midfield, Forward",23yr 6mth,28,"December 9, 1999",Eastern Ranges,192cm,84kg
tyler sonsie,"Midfield, Forward",20yr 4mth,10,"January 27, 2003",Eastern Ranges,181cm,73kg
tyson stengle,Forward,24yr 8mth,51,"October 19, 1998",Woodville West Torrens,175cm,73kg
wayne milera,"Defender, Forward",25yr 9mth,87,"September 14, 1997",Central District,184cm,86kg
wil powell,Defender,23yr 9mth,81,"August 26, 1999",Claremont,185cm,81kg
will ashcroft,Midfield,19yr 1mth,14,"May 6, 2004",Sandringham Dragons,182cm,78kg
will brodie,Midfield,24yr 10mth,54,"August 23, 1998",Murray Bushrangers,190cm,88kg
will day,"Defender, Midfield",22yr,45,"June 5, 2001",West Adelaide,191cm,81kg
will gould,Defender,22yr 5mth,4,"January 14, 2001",Glenelg,191cm,97kg
will hayward,Forward,24yr 7mth,127,"October 26, 1998",North Adelaide,186cm,84kg
will hoskin elliott,"Midfield, Forward",29yr 9mth,195,"September 2, 1993",Western Jets,186cm,83kg
will kelly,Defender,22yr 10mth,5,"August 16, 2000",Oakleigh Chargers,194cm,92kg
will phillips,"Midfield, Forward",21yr 1mth,26,"May 22, 2002",Oakleigh Chargers,181cm,80kg
will setterfield,Midfield,25yr 4mth,66,"February 5, 1998",Sandringham Dragons,192cm,87kg
will snelling,Forward,25yr 10mth,58,"August 6, 1997",West Adelaide,175cm,79kg
willem drew,Midfield,24yr 8mth,70,"October 1, 1998",North Ballarat Rebels,188cm,87kg
xavier duursma,Midfield,22yr 11mth,64,"July 7, 2000",Gippsland Power,186cm,81kg
zac bailey,"Midfield, Forward",23yr 9mth,108,"September 23, 1999",Norwood,182cm,84kg
zac fisher,"Midfield, Forward",25yr,103,"June 15, 1998",Perth,179cm,76kg
zach guthrie,Defender,24yr 11mth,68,"June 30, 1998",Calder Cannons,187cm,84kg
zach tuohy,"Defender, Midfield",33yr 6mth,263,"December 10, 1989","County Laois, Ireland",187cm,91kg
zaine cordy,"Defender, Forward",26yr 7mth,125,"October 27, 1996",Geelong Falcons,195cm,92kg
zak butters,"Midfield, Forward",22yr 9mth,82,"September 8, 2000",Western Jets,181cm,78kg
zane trew,"Midfield, Forward",21yr 1mth,5,"April 26, 2002",Swan Districts,187cm,81kg
